time (hr),od-sensors-3.od-680_E21,od-sensors-6.od-680_E22,od-sensors-2.od-680_F21,od-sensors-5.od-680_F22,od-sensors-1.od-680_G21,od-sensors-7.od-680_G23,od-sensors-7.od-680_H21,od-sensors-8.od-680_H22
12.833333,0.017262,0.009975333,0.008511333,0.007675333,0.006104,0.006209582,0.013174667,0.00853
12.916667,0.017262,0.010089333,0.008625333,0.007867333,0.006244,0.006376968,0.013376667,0.00907
13,0.017428,0.010291333,0.008851333,0.007921333,0.006384,0.006527211,0.013634667,0.00839
13.083333,0.017538,0.010235333,0.008993333,0.008059333,0.006524,0.006452995,0.013750667,0.01015
13.166667,0.01773,0.010293333,0.009135333,0.008003333,0.006664,0.006750653,0.013894667,0.00866
13.25,0.017566,0.010379333,0.009391333,0.008057333,0.006664,0.006714653,0.014010667,0.00893
13.333333,0.01787,0.010379333,0.009335333,0.007921333,0.006664,0.006829397,0.013808667,0.0092
13.416667,0.018146,0.010407333,0.009419333,0.007839333,0.006664,0.006510078,0.014066667,0.00907
13.5,0.018228,0.010751333,0.009503333,0.007783333,0.006804,0.006869155,0.014410667,0.01096
13.583333,0.018504,0.011009333,0.009843333,0.008139333,0.006944,0.006839855,0.014698667,0.01015
13.666667,0.018614,0.011123333,0.009843333,0.008223333,0.007084,0.0072531,0.014698667,0.00988
13.75,0.018586,0.011353333,0.009927333,0.008331333,0.007224,0.007290403,0.015044667,0.01015
13.833333,0.018586,0.011527333,0.010013333,0.008497333,0.007364,0.007374509,0.014902667,0.01015
13.916667,0.018944,0.011413333,0.010297333,0.008553333,0.007364,0.007311614,0.015190667,0.01096
14,0.01911,0.011413333,0.010211333,0.008471333,0.007364,0.007487014,0.015478667,0.01001
14.083333,0.019302,0.011357333,0.010323333,0.008471333,0.007504,0.007500178,0.015592667,0.00947
14.166667,0.019524,0.011531333,0.010437333,0.008527333,0.007644,0.007453866,0.015620667,0.01015
14.25,0.019772,0.011559333,0.010579333,0.008471333,0.007784,0.00760754,0.015762667,0.01109
14.333333,0.019994,0.011789333,0.010635333,0.008635333,0.008064,0.008124527,0.015734667,0.01015
14.416667,0.020188,0.012021333,0.010805333,0.008773333,0.008204,0.008312758,0.015618667,0.01055
14.5,0.02066,0.012425333,0.011061333,0.008883333,0.008204,0.008047731,0.015936667,0.01096
14.583333,0.020936,0.012599333,0.011287333,0.009019333,0.008484,0.008555872,0.016282667,0.01096
14.666667,0.021158,0.012889333,0.011429333,0.009157333,0.008624,0.008569777,0.016484667,0.0115
14.75,0.02152,0.013207333,0.011685333,0.009047333,0.008764,0.008795025,0.016744667,0.01258
14.833333,0.02177,0.013409333,0.011913333,0.009019333,0.009186,0.009036782,0.017120667,0.01109
14.916667,0.021798,0.013495333,0.011913333,0.009045333,0.009466,0.009444566,0.017408667,0.01123
15,0.021938,0.013901333,0.012085333,0.009101333,0.009608,0.00971636,0.017640667,0.0115
15.083333,0.02216,0.013929333,0.012313333,0.009321333,0.00989,0.009914736,0.018046667,0.01258
15.166667,0.02227,0.013871333,0.012343333,0.009403333,0.010032,0.010140634,0.018132667,0.01272
15.25,0.022492,0.014017333,0.012401333,0.009541333,0.010032,0.010150958,0.018336667,0.01353
15.333333,0.022658,0.014105333,0.012601333,0.009321333,0.010174,0.010332455,0.018510667,0.01435
15.416667,0.022964,0.013989333,0.012743333,0.009239333,0.010174,0.010274295,0.018452667,0.01245
15.5,0.023272,0.014047333,0.012885333,0.009047333,0.010174,0.010087088,0.018452667,0.01381
15.583333,0.02358,0.014193333,0.012885333,0.008911333,0.010314,0.010074194,0.018800667,0.01299
15.666667,0.023692,0.014193333,0.012857333,0.008745333,0.010454,0.010389142,0.018974667,0.01258
15.75,0.024084,0.014337333,0.012913333,0.008911333,0.010594,0.010854626,0.019294667,0.0134
